OSN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,%,State,Constituency,ST_CODE,PC_CODE
1,AYAN MANDAL,All India Trinamool Congress,1713,0,1713,0.83,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
2,KULDEEP RAI SHARMA,Indian National Congress,94952,0,94952,45.96,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
3,PRAKASH MINJ,Bahujan Samaj Party,2437,0,2437,1.18,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
4,VISHAL JOLLY,Bharatiya Janata Party,93675,0,93675,45.34,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
5,SANJAY MESHACK,Aam Aadmi Party,2834,0,2834,1.37,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
6,C G SAJI KUMAR,All India Hindustan Congress Party,211,0,211,0.1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
7,K KALIMUTHU,Independent,266,0,266,0.13,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
8,V V KHALID,Independent,305,0,305,0.15,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
9,GOUR CHANDRA MAJUMDER,Independent,220,0,220,0.11,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
10,PARITOSH KUMAR HALDAR,Independent,5337,0,5337,2.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
11,MINATI BISWAS,Independent,612,0,612,0.3,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
12,C U RASHEED,Independent,271,0,271,0.13,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
13,K VENKAT RAM BABU,Independent,911,0,911,0.44,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
14,S SUDERSHAN RAO,Independent,473,0,473,0.23,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
15,HENRY,Independent,990,0,990,0.48,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
16,NOTA,None of the Above,1406,0,1406,0.68,Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
1,KISHORE CHANDRA DEO,Telugu Desam,332607,0,332607,31.71,Andhra Pradesh,Aruku,S01,1
2,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Bharatiya Janata Party,17318,0,17318,1.65,Andhra Pradesh,Aruku,S01,1
3,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,547256,0,547256,52.18,Andhra Pradesh,Aruku,S01,1
4,SHRUTI DEVI VYRICHERLA,Indian National Congress,17275,0,17275,1.65,Andhra Pradesh,Aruku,S01,1
5,GANGULAIAH VAMPURU.,Janasena Party,41462,0,41462,3.95,Andhra Pradesh,Aruku,S01,1
6,SWAMULA. SUBRAHMANYAM,Jana Jagruti Party,4531,0,4531,0.43,Andhra Pradesh,Aruku,S01,1
7,ANUMULA VAMSIKRISHNA,Independent,9862,0,9862,0.94,Andhra Pradesh,Aruku,S01,1
8,KANGALA BALUDORA,Independent,13217,0,13217,1.26,Andhra Pradesh,Aruku,S01,1
9,NARAVA SATYAVATHI,Independent,10927,0,10927,1.04,Andhra Pradesh,Aruku,S01,1
10,BIDDIKA RAMAYYA.,Independent,7654,0,7654,0.73,Andhra Pradesh,Aruku,S01,1
11,NOTA,None of the Above,46768,0,46768,4.46,Andhra Pradesh,Aruku,S01,1
1,KINJARAPU RAM MOHAN NAIDU,Telugu Desam,521725,0,521725,46.36,Andhra Pradesh,Srikakulam,S01,2
2,DOLA JAGAN,Indian National Congress,13298,0,13298,1.18,Andhra Pradesh,Srikakulam,S01,2
3,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,512091,0,512091,45.5,Andhra Pradesh,Srikakulam,S01,2
4,PERLA SAMBA MURTHY,Bharatiya Janata Party,7271,0,7271,0.65,Andhra Pradesh,Srikakulam,S01,2
5,MATTA SATISH CHAKRAVARTHY,Pyramid Party of India,1420,0,1420,0.13,Andhra Pradesh,Srikakulam,S01,2
6,METTA RAMARAO,Janasena Party,30963,0,30963,2.75,Andhra Pradesh,Srikakulam,S01,2
7,NAMBALLA KRISHNA MOHAN,Independent,4766,0,4766,0.42,Andhra Pradesh,Srikakulam,S01,2
8,NAIDUGARI RAJASEKHAR,Independent,5050,0,5050,0.45,Andhra Pradesh,Srikakulam,S01,2
9,BETHA VIVEKANANDA MAHARAJ,Independent,3766,0,3766,0.33,Andhra Pradesh,Srikakulam,S01,2
10,NOTA,None of the Above,25043,0,25043,2.23,Andhra Pradesh,Srikakulam,S01,2
1,Ashok Gajapathi Raju Pusapati,Telugu Desam,521123,0,521123,43.66,Andhra Pradesh,Vizianagaram,S01,3
2,Adiraju Yedla,Indian National Congress,15399,0,15399,1.29,Andhra Pradesh,Vizianagaram,S01,3
3,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,565661,0,565661,47.39,Andhra Pradesh,Vizianagaram,S01,3
4,Sanyasi Raju Pakalapati,Bharatiya Janata Party,6816,0,6816,0.57,Andhra Pradesh,Vizianagaram,S01,3
5,P.V.A. Ananda Sagar,Samaanya Praja Party,4906,0,4906,0.41,Andhra Pradesh,Vizianagaram,S01,3
6,Chiranjeevi Lingala,Andhra Chaitanya Party,1235,0,1235,0.1,Andhra Pradesh,Vizianagaram,S01,3
7,Mukka Srinivas Rao,Janasena Party,33441,0,33441,2.8,Andhra Pradesh,Vizianagaram,S01,3
8,Lagudu. Govinda Rao,Jana Jagruti Party,772,0,772,0.06,Andhra Pradesh,Vizianagaram,S01,3
9,Surya Bhavani. K,Pyramid Party of India,809,0,809,0.07,Andhra Pradesh,Vizianagaram,S01,3
10,Yella Rao Siyyadula,Independent,997,0,997,0.08,Andhra Pradesh,Vizianagaram,S01,3
11,Dhanalakoti Ramana,Independent,1154,0,1154,0.1,Andhra Pradesh,Vizianagaram,S01,3
12,Pentapati Rajesh,Independent,1447,0,1447,0.12,Andhra Pradesh,Vizianagaram,S01,3
13,Ijjurouthu Ramunaidu,Independent,4508,0,4508,0.38,Andhra Pradesh,Vizianagaram,S01,3
14,Venkata Trindha Rao Veluri,Independent,6252,0,6252,0.52,Andhra Pradesh,Vizianagaram,S01,3
15,NOTA,None of the Above,29039,0,29039,2.43,Andhra Pradesh,Vizianagaram,S01,3
1,DAGGUBATI PURANDESWARI,Bharatiya Janata Party,28981,0,28981,2.72,Andhra Pradesh,Visakhapatnam,S01,4
2,PEDADA. RAMANIKUMARI,Indian National Congress,12643,0,12643,1.19,Andhra Pradesh,Visakhapatnam,S01,4
3,BHARAT MATHUKUMILLI,Telugu Desam,372655,0,372655,34.94,Andhra Pradesh,Visakhapatnam,S01,4
4,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,379012,0,379012,35.54,Andhra Pradesh,Visakhapatnam,S01,4
5,GEORGE BANGARI,Viduthalai Chiruthaigal Katchi,2706,0,2706,0.25,Andhra Pradesh,Visakhapatnam,S01,4
6,B. JAYA VENU GOPAL,Pyramid Party of India,1424,0,1424,0.13,Andhra Pradesh,Visakhapatnam,S01,4
7,V.V. LAKSHMI NARAYANA,Janasena Party,244122,0,244122,22.89,Andhra Pradesh,Visakhapatnam,S01,4
8,ANMISH VARMA,Independent,1609,0,1609,0.15,Andhra Pradesh,Visakhapatnam,S01,4
9,R. UDAYA GOWRI,Independent,1196,0,1196,0.11,Andhra Pradesh,Visakhapatnam,S01,4
10,KOTHAPALLI GEETHA,Independent,1020,0,1020,0.1,Andhra Pradesh,Visakhapatnam,S01,4
11,GAMPALA SOMASUNDARAM,Independent,991,0,991,0.09,Andhra Pradesh,Visakhapatnam,S01,4
12,GANNU MALLAYYA,Independent,1162,0,1162,0.11,Andhra Pradesh,Visakhapatnam,S01,4
13,DURGAPRASAD. GUNTU,Independent,2159,0,2159,0.2,Andhra Pradesh,Visakhapatnam,S01,4
14,PULAPAKA RAJA SEKHAR,Independent,2031,0,2031,0.19,Andhra Pradesh,Visakhapatnam,S01,4
15,NOTA,None of the Above,14780,0,14780,1.39,Andhra Pradesh,Visakhapatnam,S01,4
1,ADARI ANAND KUMAR,Telugu Desam,458966,0,458966,40.24,Andhra Pradesh,Anakapalli,S01,5
2,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Bharatiya Janata Party,12087,0,12087,1.06,Andhra Pradesh,Anakapalli,S01,5
3,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,538192,0,538192,47.18,Andhra Pradesh,Anakapalli,S01,5
4,Ruthala Srirama Murthy,Indian National Congress,9404,0,9404,0.82,Andhra Pradesh,Anakapalli,S01,5
5,P.S.AJAY KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),2455,0,2455,0.22,Andhra Pradesh,Anakapalli,S01,5
6,K B SWAROOP,Jana Jagruti Party,1443,0,1443,0.13,Andhra Pradesh,Anakapalli,S01,5
7,Chintala Partha Sarathi,Janasena Party,76769,0,76769,6.73,Andhra Pradesh,Anakapalli,S01,5
8,Taadi Veera Jagadeeshwari,Pyramid Party of India,1663,0,1663,0.15,Andhra Pradesh,Anakapalli,S01,5
9,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,4097,0,4097,0.36,Andhra Pradesh,Anakapalli,S01,5
10,Appala Naidu Tummagunta,Independent,3426,0,3426,0.3,Andhra Pradesh,Anakapalli,S01,5
11,NOTA,None of the Above,32161,0,32161,2.82,Andhra Pradesh,Anakapalli,S01,5
1,CHALAMALASETTY SUNIL,Telugu Desam,504825,3531,508356,41.45,Andhra Pradesh,Kakinada,S01,6
2,MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),Indian National Congress,8543,39,8582,0.7,Andhra Pradesh,Kakinada,S01,6
3,YALLA VENKATA RAMA MOHAN RAO (DORABABU),Bharatiya Janata Party,9432,140,9572,0.78,Andhra Pradesh,Kakinada,S01,6
4,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,531153,2975,534128,43.55,Andhra Pradesh,Kakinada,S01,6
5,APPALAKONDA VANGALAPUDI,Mundadugu Praja Party,2976,0,2976,0.24,Andhra Pradesh,Kakinada,S01,6
6,B. GEETHA,Praja Shanthi Party,1674,1,1675,0.14,Andhra Pradesh,Kakinada,S01,6
7,GODUGU SATYANARAYANA,Communist Party of India  (Marxist-Leninist)  (Liberation),1712,1,1713,0.14,Andhra Pradesh,Kakinada,S01,6
8,JYOTHULA VENKATESWARA RAO,Janasena Party,131234,524,131758,10.74,Andhra Pradesh,Kakinada,S01,6
9,DONAM NEELAKANTAM,All India Praja Party,971,0,971,0.08,Andhra Pradesh,Kakinada,S01,6
10,PEDDIMSETTI. VENKATESWARARAO,Jana Jagruti Party,807,3,810,0.07,Andhra Pradesh,Kakinada,S01,6
11,VASAMSETTY VENKATARAMANA,All India Forward Bloc,1006,2,1008,0.08,Andhra Pradesh,Kakinada,S01,6
12,SATHI VEERALAKSHMI,Pyramid Party of India,1114,2,1116,0.09,Andhra Pradesh,Kakinada,S01,6
13,ANKADI SATHIBABU,Independent,1370,0,1370,0.11,Andhra Pradesh,Kakinada,S01,6
14,KAKILETI RAVINDRA,Independent,3301,2,3303,0.27,Andhra Pradesh,Kakinada,S01,6
15,MEDISETTI VIJAYA KUMAR,Independent,2040,0,2040,0.17,Andhra Pradesh,Kakinada,S01,6
16,NOTA,None of the Above,17022,36,17058,1.39,Andhra Pradesh,Kakinada,S01,6
1,AYYAJI VEMA MANEPALLI,Bharatiya Janata Party,11222,0,11222,0.93,Andhra Pradesh,Amalapuram,S01,7
2,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,436553,0,436553,36.25,Andhra Pradesh,Amalapuram,S01,7
3,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,473801,0,473801,39.34,Andhra Pradesh,Amalapuram,S01,7
4,JANGA GOUTHAM,Indian National Congress,7743,0,7743,0.64,Andhra Pradesh,Amalapuram,S01,7
5,CHELLE RAJANI,Jana Jagruti Party,1208,0,1208,0.1,Andhra Pradesh,Amalapuram,S01,7
6,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),1774,0,1774,0.15,Andhra Pradesh,Amalapuram,S01,7
7,MURALIKRISHNA KANDERI,India Praja Bandhu Party,1755,0,1755,0.15,Andhra Pradesh,Amalapuram,S01,7
8,MORTHA SIVA RAMA KRISHNA,Pyramid Party of India,1920,0,1920,0.16,Andhra Pradesh,Amalapuram,S01,7
9,D M R SEKHAR,Janasena Party,249566,0,249566,20.72,Andhra Pradesh,Amalapuram,S01,7
10,REVU SUDHAKAR,Independent,2731,0,2731,0.23,Andhra Pradesh,Amalapuram,S01,7
11,NOTA,None of the Above,16171,0,16171,1.34,Andhra Pradesh,Amalapuram,S01,7
1,NALLURI VIJAYA SRINIVASA RAO,Indian National Congress,12489,0,12489,1.02,Andhra Pradesh,Rajahmundry,S01,8
2,PARAVASTU SATYA GOPINATH DAS,Bharatiya Janata Party,11974,0,11974,0.98,Andhra Pradesh,Rajahmundry,S01,8
3,MAGANTI ROOPA,Telugu Desam,452223,0,452223,36.96,Andhra Pradesh,Rajahmundry,S01,8
4,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,568531,0,568531,46.46,Andhra Pradesh,Rajahmundry,S01,8
5,AKULA SATYANARAYANA,Janasena Party,151750,0,151750,12.4,Andhra Pradesh,Rajahmundry,S01,8
6,GEDDAM DAVID NELSON BABU,Ambedkarite Party of India,1718,0,1718,0.14,Andhra Pradesh,Rajahmundry,S01,8
7,BANDARU RAJESWARA RAO,Jana Jagruti Party,1014,0,1014,0.08,Andhra Pradesh,Rajahmundry,S01,8
8,MEDA SRINIVAS,Rashtriya Praja Congress  (Secular),979,0,979,0.08,Andhra Pradesh,Rajahmundry,S01,8
9,SANGISETTI SRINIVASA RAO,Pyramid Party of India,1150,0,1150,0.09,Andhra Pradesh,Rajahmundry,S01,8
10,KURUVELLA BHANUCHANDAR,Independent,1216,0,1216,0.1,Andhra Pradesh,Rajahmundry,S01,8
11,KOLLAPU VENU,Independent,2833,0,2833,0.23,Andhra Pradesh,Rajahmundry,S01,8
12,NOTA,None of the Above,17785,0,17785,1.45,Andhra Pradesh,Rajahmundry,S01,8
1,KANUMURU BAPIRAJU,Indian National Congress,13291,0,13291,1.17,Andhra Pradesh,Narsapuram,S01,9
2,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,433239,0,433239,38.07,Andhra Pradesh,Narsapuram,S01,9
3,PYDIKONDALA MANIKYALA RAO,Bharatiya Janata Party,11935,0,11935,1.05,Andhra Pradesh,Narsapuram,S01,9
4,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),Telugu Desam,405479,0,405479,35.63,Andhra Pradesh,Narsapuram,S01,9
5,YELLA VENU GOPAL RAO,Nava Samaj Party,4185,0,4185,0.37,Andhra Pradesh,Narsapuram,S01,9
6,GANJI PURNIMA,Republican Party of India (A),810,0,810,0.07,Andhra Pradesh,Narsapuram,S01,9
7,GURUGUBILLI RAMBABU,Marxist Communist Party of India (United),568,0,568,0.05,Andhra Pradesh,Narsapuram,S01,9
8,G S RAJU,Samajwadi Party,3397,0,3397,0.3,Andhra Pradesh,Narsapuram,S01,9
9,DASARI KRISHNA MURTHY,India Praja Bandhu Party,1561,0,1561,0.14,Andhra Pradesh,Narsapuram,S01,9
10,NALLAM SURYA CHANDRA RAO,Pyramid Party of India,2116,0,2116,0.19,Andhra Pradesh,Narsapuram,S01,9
11,NAGABABU KONIDELA,Janasena Party,240282,0,240282,21.11,Andhra Pradesh,Narsapuram,S01,9
12,K.A.PAUL,Praja Shanthi Party,2942,0,2942,0.26,Andhra Pradesh,Narsapuram,S01,9
13,GOTTUMUKKALA SHIVAJI,Independent,1239,0,1239,0.11,Andhra Pradesh,Narsapuram,S01,9
14,NALLI RAJESH,Independent,2569,0,2569,0.23,Andhra Pradesh,Narsapuram,S01,9
15,MEDAPATI VARAHALA REDDY,Independent,2619,0,2619,0.23,Andhra Pradesh,Narsapuram,S01,9
16,NOTA,None of the Above,11749,0,11749,1.03,Andhra Pradesh,Narsapuram,S01,9
1,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,669470,0,669470,50.87,Andhra Pradesh,Eluru,S01,10
2,CHINNAM RAMA KOTAYYA,Bharatiya Janata Party,8267,0,8267,0.63,Andhra Pradesh,Eluru,S01,10
3,JETTI GURUNADHA RAO,Indian National Congress,20209,0,20209,1.54,Andhra Pradesh,Eluru,S01,10
4,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,507327,0,507327,38.55,Andhra Pradesh,Eluru,S01,10
5,CHINA VENKATA SURYANARAYANA JOSYULA,Pyramid Party of India,2925,0,2925,0.22,Andhra Pradesh,Eluru,S01,10
6,PENTAPATI PULLARAO,Janasena Party,76227,0,76227,5.79,Andhra Pradesh,Eluru,S01,10
7,MATHE. BOBBY,Republican Party of India (A),1866,0,1866,0.14,Andhra Pradesh,Eluru,S01,10
8,V. SIVA RAMA KRISHNA,Jana Jagruti Party,1257,0,1257,0.1,Andhra Pradesh,Eluru,S01,10
9,ALAGA. RAVI KUMAR,Independent,1643,0,1643,0.12,Andhra Pradesh,Eluru,S01,10
10,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),Independent,3001,0,3001,0.23,Andhra Pradesh,Eluru,S01,10
11,NOTA,None of the Above,23759,0,23759,1.81,Andhra Pradesh,Eluru,S01,10
1,KONAKALLA NARAYANA RAO,Telugu Desam,507657,0,507657,41.26,Andhra Pradesh,Machilipatnam,S01,11
2,GUDIVAKA RAMANJANEYULU,Bharatiya Janata Party,6343,0,6343,0.52,Andhra Pradesh,Machilipatnam,S01,11
3,GOLLU KRISHNA,Indian National Congress,12172,0,12172,0.99,Andhra Pradesh,Machilipatnam,S01,11
4,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,565012,0,565012,45.93,Andhra Pradesh,Machilipatnam,S01,11
5,PERAM SIVA NAGESWARA RAO,Republican Party of India (A),3617,0,3617,0.29,Andhra Pradesh,Machilipatnam,S01,11
6,BANDREDDI RAMAKRISHNA,Janasena Party,112348,0,112348,9.13,Andhra Pradesh,Machilipatnam,S01,11
7,YARLAGADDA RAMA MOHANA RAO,Bahujan Maha Party,1014,0,1014,0.08,Andhra Pradesh,Machilipatnam,S01,11
8,VALLURU VENKATESWARA RAO,Pyramid Party of India,824,0,824,0.07,Andhra Pradesh,Machilipatnam,S01,11
9,GANDHI DHANEKULA,Independent,846,0,846,0.07,Andhra Pradesh,Machilipatnam,S01,11
10,NADAKUDITI NAGA GAYATHRI,Independent,771,0,771,0.06,Andhra Pradesh,Machilipatnam,S01,11
11,GUDIVAKA VENKATA NAGA BASAVA RAO,Independent,894,0,894,0.07,Andhra Pradesh,Machilipatnam,S01,11
12,VIJAYA LAKSHMI CHALAPAKA,Independent,4760,0,4760,0.39,Andhra Pradesh,Machilipatnam,S01,11
13,NOTA,None of the Above,14024,0,14024,1.14,Andhra Pradesh,Machilipatnam,S01,11
1,KILARU DILEEP,Bharatiya Janata Party,16643,0,16643,1.48,Andhra Pradesh,Vijayawada,S01,12
2,KESINENI SRINIVAS (NANI),Telugu Desam,503179,0,503179,44.88,Andhra Pradesh,Vijayawada,S01,12
3,NARAHARISETTY. NARASIMHARAO.,Indian National Congress,14555,0,14555,1.3,Andhra Pradesh,Vijayawada,S01,12
4,POTLURI.V.PRASAD ( P V P ),Yuvajana Sramika Rythu Congress Party,496460,0,496460,44.28,Andhra Pradesh,Vijayawada,S01,12
5,ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,2137,0,2137,0.19,Andhra Pradesh,Vijayawada,S01,12
6,DATLA LURDU MARY,Mundadugu Praja Party,380,0,380,0.03,Andhra Pradesh,Vijayawada,S01,12
7,PADALA SIVA PRASAD,Navarang Congress Party,426,0,426,0.04,Andhra Pradesh,Vijayawada,S01,12
8,Muttamsetty Prasad babu,Janasena Party,73634,0,73634,6.57,Andhra Pradesh,Vijayawada,S01,12
9,SEKHAR,Pyramid Party of India,635,0,635,0.06,Andhra Pradesh,Vijayawada,S01,12
10,Sk. Riyaz,Indian Union Muslim League,375,0,375,0.03,Andhra Pradesh,Vijayawada,S01,12
11,ANIL KUMAR MADDINENI,Independent,933,0,933,0.08,Andhra Pradesh,Vijayawada,S01,12
12,DHANEKULA GANDHI,Independent,605,0,605,0.05,Andhra Pradesh,Vijayawada,S01,12
13,NANDINI NALLAGHATLA,Independent,822,0,822,0.07,Andhra Pradesh,Vijayawada,S01,12
14,BOLISETTY HARI BABU,Independent,1550,0,1550,0.14,Andhra Pradesh,Vijayawada,S01,12
15,MOHAMMAD ISHAQ,Independent,1057,0,1057,0.09,Andhra Pradesh,Vijayawada,S01,12
16,NOTA,None of the Above,7728,0,7728,0.69,Andhra Pradesh,Vijayawada,S01,12
1,Jayadev Galla,Telugu Desam,524909,0,524909,44.1,Andhra Pradesh,Guntur,S01,13
2,Jayaprakash Narayana Valluru,Bharatiya Janata Party,10066,0,10066,0.85,Andhra Pradesh,Guntur,S01,13
3,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,507904,0,507904,42.67,Andhra Pradesh,Guntur,S01,13
4,Shaik Mastanvali,Indian National Congress,12315,0,12315,1.03,Andhra Pradesh,Guntur,S01,13
5,Araveti Hazarath Rao,Pyramid Party of India,688,0,688,0.06,Andhra Pradesh,Guntur,S01,13
6,Ullagi David Jayakumar,Hardam Manavtawadi Rashtriya Dal,388,0,388,0.03,Andhra Pradesh,Guntur,S01,13
7,Jeldi Raja Mohan,All India Praja Party,404,0,404,0.03,Andhra Pradesh,Guntur,S01,13
8,Nagaraju Ekula,Republican Party of India (A),840,0,840,0.07,Andhra Pradesh,Guntur,S01,13
9,Bonaboyina Srinivasa Rao,Janasena Party,113238,0,113238,9.51,Andhra Pradesh,Guntur,S01,13
10,Mannava Hariprasad,Communist Party of India (Marxist-Leninist) Red Star,2850,0,2850,0.24,Andhra Pradesh,Guntur,S01,13
11,Ramarao Simhadri,Praja Shanthi Party,1584,0,1584,0.13,Andhra Pradesh,Guntur,S01,13
12,Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi,545,0,545,0.05,Andhra Pradesh,Guntur,S01,13
13,Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),894,0,894,0.08,Andhra Pradesh,Guntur,S01,13
14,Shaik Jaleel,Navarang Congress Party,510,0,510,0.04,Andhra Pradesh,Guntur,S01,13
15,Samudrala Chinna Kotaiah,National Dalitha Dhal Party,557,0,557,0.05,Andhra Pradesh,Guntur,S01,13
16,Umar Basha Shaik,Independent,2366,0,2366,0.2,Andhra Pradesh,Guntur,S01,13
17,Dasari Kiran Babu,Independent,2591,0,2591,0.22,Andhra Pradesh,Guntur,S01,13
18,Doppalapudi Veera Das,Independent,535,0,535,0.04,Andhra Pradesh,Guntur,S01,13
19,Yanamadala Venkata Suresh,Independent,1742,0,1742,0.15,Andhra Pradesh,Guntur,S01,13
20,NOTA,None of the Above,5254,0,5254,0.44,Andhra Pradesh,Guntur,S01,13
1,KANNA LAKSHMI NARAYANA,Bharatiya Janata Party,14944,0,14944,1.06,Andhra Pradesh,Narasaraopet,S01,14
2,PAKKALA SURIBABU,Indian National Congress,10761,0,10761,0.77,Andhra Pradesh,Narasaraopet,S01,14
3,RAYAPATI SAMBASIVARAO,Telugu Desam,580125,0,580125,41.27,Andhra Pradesh,Narasaraopet,S01,14
4,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,726587,0,726587,51.69,Andhra Pradesh,Narasaraopet,S01,14
5,ALLU VENKATAREDDY,Pyramid Party of India,2833,0,2833,0.2,Andhra Pradesh,Narasaraopet,S01,14
6,KANAKAM SRINIVASARAO,National Nava Kranthi Party,1044,0,1044,0.07,Andhra Pradesh,Narasaraopet,S01,14
7,NAYUB KAMAL SHAIK,Janasena Party,49546,0,49546,3.52,Andhra Pradesh,Narasaraopet,S01,14
8,SURABHI DEVASAHAYAM,Indian Union Muslim League,416,0,416,0.03,Andhra Pradesh,Narasaraopet,S01,14
9,KANTE SAYANNA,Independent,362,0,362,0.03,Andhra Pradesh,Narasaraopet,S01,14
10,GADDALA VENU,Independent,606,0,606,0.04,Andhra Pradesh,Narasaraopet,S01,14
11,DURGAMPUDI RAMIREDDY,Independent,2640,0,2640,0.19,Andhra Pradesh,Narasaraopet,S01,14
12,PARIMI NARASIMHA RAO,Independent,985,0,985,0.07,Andhra Pradesh,Narasaraopet,S01,14
13,REDDYBOINA PRASANNA KUMAR,Independent,1373,0,1373,0.1,Andhra Pradesh,Narasaraopet,S01,14
14,NOTA,None of the Above,13347,0,13347,0.95,Andhra Pradesh,Narasaraopet,S01,14
1,CHALLAGALI KISHORE KUMAR,Bharatiya Janata Party,9590,0,9590,0.78,Andhra Pradesh,Bapatla,S01,15
2,K. DEVANAND,Bahujan Samaj Party,41755,0,41755,3.38,Andhra Pradesh,Bapatla,S01,15
3,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,583886,0,583886,47.27,Andhra Pradesh,Bapatla,S01,15
4,MALYADRI SRIRAM,Telugu Desam,567789,0,567789,45.96,Andhra Pradesh,Bapatla,S01,15
5,J.D. SEELAM,Indian National Congress,12761,0,12761,1.03,Andhra Pradesh,Bapatla,S01,15
6,KUMAR KATTEPOGU,Pyramid Party of India,864,0,864,0.07,Andhra Pradesh,Bapatla,S01,15
7,GADDE HARI BABU,Navodayam Party,515,0,515,0.04,Andhra Pradesh,Bapatla,S01,15
8,CHINA NAGESWARA RAO SADHU,Mundadugu Praja Party,456,0,456,0.04,Andhra Pradesh,Bapatla,S01,15
9,THUMATI RAVI,All Peoples Party,365,0,365,0.03,Andhra Pradesh,Bapatla,S01,15
10,NUTHAKKI RAMA RAO,All India Praja Party,593,0,593,0.05,Andhra Pradesh,Bapatla,S01,15
11,GELLA NAGAMALLI,Independent,638,0,638,0.05,Andhra Pradesh,Bapatla,S01,15
12,GOLLA BABURAO,Independent,1236,0,1236,0.1,Andhra Pradesh,Bapatla,S01,15
13,BUSSA NAGARAJU,Independent,1903,0,1903,0.15,Andhra Pradesh,Bapatla,S01,15
14,NOTA,None of the Above,12938,0,12938,1.05,Andhra Pradesh,Bapatla,S01,15
1,THOGANTI SREENIVASULU,Bharatiya Janata Party,7488,0,7488,0.57,Andhra Pradesh,Ongole,S01,16
2,MAGUNTA SREENIVASULU REDDY,Yuvajana Sramika Rythu Congress Party,716810,0,716810,55.03,Andhra Pradesh,Ongole,S01,16
3,SIDDA RAGHAVA RAO,Telugu Desam,509053,0,509053,39.08,Andhra Pradesh,Ongole,S01,16
4,DR SIRIVELLA PRASAD,Indian National Congress,7895,0,7895,0.61,Andhra Pradesh,Ongole,S01,16
5,KONDA PRAVEEN KUMAR,Navodayam Party,794,0,794,0.06,Andhra Pradesh,Ongole,S01,16
6,BELLAMKONDA SAIBABU,Janasena Party,28853,0,28853,2.22,Andhra Pradesh,Ongole,S01,16
7,MARAM SRINIVASA REDDY,Praja Shanthi Party,3186,0,3186,0.24,Andhra Pradesh,Ongole,S01,16
8,VENKATESAN BABURAO,India Praja Bandhu Party,1049,0,1049,0.08,Andhra Pradesh,Ongole,S01,16
9,KAVURI VENU BABU NAIDU,Independent,562,0,562,0.04,Andhra Pradesh,Ongole,S01,16
10,BILLA CHENNAIAH,Independent,660,0,660,0.05,Andhra Pradesh,Ongole,S01,16
11,MADHU YATTAPU,Independent,1146,0,1146,0.09,Andhra Pradesh,Ongole,S01,16
12,MOHAN AYYAPPA,Independent,1431,0,1431,0.11,Andhra Pradesh,Ongole,S01,16
